               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.051415,            0.027473,                   0,              0.7597,             0.83333,             0.82714,             0.41565,            0.042384,            0.011316,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.047039,            0.033868,                   0,              0.7597,             0.83333,             0.82714,             0.41565,            0.042384,            0.011316,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.045799,            0.032506,                   0,              0.7597,             0.83333,             0.82714,             0.41565,            0.042384,            0.011316,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.043866,             0.02727,                   0,              0.7597,             0.83333,             0.82714,             0.41565,            0.042384,            0.011316,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.055563,            0.032825,                   0,             0.80171,             0.83333,             0.82529,             0.39849,            0.042853,            0.010741,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.056051,             0.02496,                   0,             0.80171,             0.83333,             0.82529,             0.39849,            0.042853,            0.010741,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.057839,            0.029732,                   0,             0.80171,             0.83333,             0.82529,             0.39849,            0.042853,            0.010741,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.059773,            0.033781,                   0,              0.8124,             0.83333,             0.84101,             0.43457,            0.040001,             0.01067,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.053715,            0.031259,                   0,              0.8124,             0.83333,             0.84101,             0.43457,            0.040001,             0.01067,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.056077,             0.03256,                   0,              0.8124,             0.83333,             0.84101,             0.43457,            0.040001,             0.01067,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.051642,             0.03108,                   0,             0.82612,             0.79364,             0.79605,             0.39242,            0.040297,           0.0099957,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.040876,            0.030564,                   0,             0.82612,             0.79364,             0.79605,             0.39242,            0.040297,           0.0099957,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.041553,            0.025486,                   0,             0.82612,             0.79364,             0.79605,             0.39242,            0.040297,           0.0099957,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.045085,            0.030481,                   0,             0.69314,             0.83333,             0.77115,             0.36958,            0.038477,           0.0098986,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.046482,            0.030563,                   0,             0.69314,             0.83333,             0.77115,             0.36958,            0.038477,           0.0098986,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.047019,            0.026077,                   0,             0.69314,             0.83333,             0.77115,             0.36958,            0.038477,           0.0098986,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.04447,            0.030958,                   0,             0.76539,             0.81671,             0.82581,             0.34807,            0.037628,           0.0094999,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.042153,            0.024938,                   0,             0.76539,             0.81671,             0.82581,             0.34807,            0.037628,           0.0094999,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.042034,            0.031774,                   0,             0.76539,             0.81671,             0.82581,             0.34807,            0.037628,           0.0094999,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.057432,            0.032875,                   0,             0.76539,             0.81671,             0.82581,             0.34807,            0.037628,           0.0094999,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.037328,            0.026378,                   0,              0.6518,             0.83333,             0.79213,             0.31541,            0.039181,           0.0092832,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.042019,            0.024137,                   0,              0.6518,             0.83333,             0.79213,             0.31541,            0.039181,           0.0092832,                   0,            0.004159,            0.004159,            0.004159
